date,plan_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,charge_kwh,discharge_kwh,plan_cost_yuan,adjustment_cost_yuan,ordinary_settlement_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
2025-06-21,64650.95687624828,64650.95687624828,0.0,0.0,0.0,8675.140010288065,7026.863408333333,40971.73085192338,0.0,40971.73085192338,0.0,40971.73085192338,10800.0,10800.0
2025-06-22,64770.877494218104,64770.877494218104,0.0,0.0,2001.263028327784,14911.502704927983,16452.84079111666,40407.14222912851,0.0,40407.14222912851,13662.823235887923,54069.96546501644,10800.0,5939.418222083333
2025-06-23,71469.08976417696,71469.08976417696,0.0,0.0,677.5994921777785,22015.093773504792,17778.79970532222,44272.60790055846,0.0,44272.60790055846,4685.9253748018655,48958.53327536033,5939.418222083333,5998.780723435186
2025-06-24,82812.52025245884,82812.52025245884,0.0,0.0,671.4154269694432,23831.9351449417,19340.46778108611,51693.992862572384,0.0,51693.992862572384,3420.9756050852607,55114.96846765764,5998.780723435186,5958.113708231482
2025-06-25,73608.76992102194,73608.76992102194,0.0,0.0,2232.569446250005,19976.612720692727,16179.797902361108,44840.81575438418,0.0,44840.81575438418,15234.039013361493,60074.85476774567,5958.113708231482,5959.51193200926
2025-06-26,70036.6837388786,70036.6837388786,0.0,0.0,1761.2250860166714,19879.05184881344,16015.34152620555,43437.825628282764,0.0,43437.825628282764,12071.152867112356,55508.97849539512,5959.51193200926,6055.834677935185
2025-06-27,72772.15403979423,72772.15403979423,0.0,0.0,0.0,13939.546136656378,7021.283580833334,45438.014116984836,0.0,45438.014116984836,0.0,45438.014116984836,6055.834677935185,10800.0
2025-06-28,66822.96109017488,66822.96109017488,0.0,0.0,0.0,8403.117651234572,6835.588964166667,42567.781209825844,0.0,42567.781209825844,0.0,42567.781209825844,10800.0,10767.707037037037
2025-06-29,63371.03985745885,63371.03985745885,0.0,0.0,4419.342200988894,13368.166359681072,15007.033737900001,39662.3889539503,0.0,39662.3889539503,29889.91986612988,69552.30882008019,10767.707037037037,6124.5748297499995
2025-06-30,74445.07295081893,74445.07295081893,0.0,0.0,110.02662555555571,22150.79153744856,18086.557022555557,45736.41160928915,0.0,45736.41160928915,745.2173092080566,46481.628918497205,6124.5748297499995,5964.112743947529
2025-07-01,64677.3695489369,64677.3695489369,0.0,0.0,15650.476960172224,14602.515425325797,13141.212949550001,39568.566145737976,0.0,39568.566145737976,96959.26025284617,136527.82639858415,5964.112743947529,4505.028905018518
2025-07-02,62629.320442733195,62629.320442733195,0.0,0.0,12951.443808977778,14097.251168566534,11421.253283522226,39039.74471785833,0.0,39039.74471785833,80097.50378546571,119137.24850332405,4505.028905018518,4502.273530592593
2025-07-03,71853.05263496912,71853.05263496912,0.0,0.0,11803.697804875002,18887.379484135803,14991.047977625,43760.795333539216,0.0,43760.795333539216,72425.0717479352,116185.86708147443,4502.273530592593,4844.195091175926
2025-07-04,63567.467005781895,63567.467005781895,0.0,0.0,0.0,16120.359921141973,9010.037354999999,39272.82578601023,0.0,39272.82578601023,0.0,39272.82578601023,4844.195091175926,9341.366403537038
2025-07-05,57579.47214541151,57579.47214541151,0.0,0.0,0.0,11230.889922222213,9028.833238333333,36931.65306680091,0.0,36931.65306680091,0.0,36931.65306680091,9341.366403537038,9417.130402055558
2025-07-06,60832.45324235939,60832.45324235939,0.0,0.0,16611.480538913886,9598.154461526066,11948.20223025278,38975.546509471445,0.0,38975.546509471445,101401.81202174662,140377.35853121808,9417.130402055558,4779.689161592594
2025-07-07,68309.73684072014,68309.73684072014,0.0,0.0,8430.323284780665,17042.339222767492,13711.761863933332,42384.74418681349,0.0,42384.74418681349,53192.412160971304,95577.1563477848,4779.689161592594,4882.503502157408
2025-07-08,75759.37536024005,75759.37536024005,0.0,0.0,5420.812245138896,22089.198550884772,17506.681318749994,46782.08628561269,0.0,46782.08628561269,33168.394447982755,79950.48073359544,4882.503502157408,5310.914066009259
2025-07-09,79859.52667901358,79859.52667901358,0.0,0.0,1312.2726384638922,22861.040198628252,18132.888438047215,49300.24740662171,0.0,49300.24740662171,8724.124046982639,58024.37145360435,5310.914066009259,5738.196424722222
2025-07-10,73622.05858221685,73622.05858221685,0.0,0.0,3318.6354800722256,19877.57366242798,15916.24128125,46455.523818034875,0.0,46455.523818034875,22302.1303008078,68757.65411884268,5738.196424722222,5943.300186185185
2025-07-11,82763.07545627649,82763.07545627649,0.0,0.0,0.0,14643.839405267487,7490.480085833334,51741.040425015424,0.0,51741.040425015424,0.0,51741.040425015424,5943.300186185185,10800.0
2025-07-12,67149.73259011758,67149.73259011758,0.0,0.0,0.0,9326.091429012347,7554.134057500001,43640.3989774394,0.0,43640.3989774394,0.0,43640.3989774394,10800.0,10800.0
2025-07-13,74541.69149763716,74541.69149763716,0.0,0.0,278.48244491666765,15402.053979763377,16875.035923416668,48768.53937844225,0.0,48768.53937844225,1775.9111214470067,50544.45049988925,10800.0,5911.8086668796295
2025-07-14,76349.25112968791,76349.25112968791,0.0,0.0,1468.9661512083421,19957.087991982156,16084.362294347218,47385.78280411428,0.0,47385.78280411428,9947.361593695496,57333.144397809774,5911.8086668796295,6001.674199277778
2025-07-15,79953.66349797323,79953.66349797323,0.0,0.0,183.04150547222415,20298.505415041152,16327.876963416667,49793.54888786781,0.0,49793.54888786781,1223.3011620548184,51016.85004992263,6001.674199277778,6128.243557907408
