variant,date,issue_datetime,issue_hour,first_target_end,last_target_end,soc_measured_kwh,planned_terminal_kwh,milp_gap,price_mode,radius_scale,nominal_horizon_proxy_cost_yuan,box_worst_horizon_proxy_cost_yuan,q2_pv_history_only,load_history_through_date
4-3,2025-05-09,2025-05-09 00:00:00,0,2025-05-09 00:10:00,2025-05-10 00:00:00,6088.050350058161,6000.0,0.0,forecast,1.0,12104.060787291772,13952.377970722195,False,2025-05-08
4-3,2025-05-09,2025-05-09 06:00:00,6,2025-05-09 06:10:00,2025-05-10 06:00:00,3416.5444860174584,6000.0,0.0,forecast,1.0,13795.729871216043,15876.809171225646,False,2025-05-08
4-3,2025-05-09,2025-05-09 12:00:00,12,2025-05-09 12:10:00,2025-05-10 12:00:00,10800.0,6000.0,5.233283297213494e-16,forecast,1.0,13226.817937220603,15630.720260972075,False,2025-05-08
4-3,2025-05-09,2025-05-09 18:00:00,18,2025-05-09 18:10:00,2025-05-10 18:00:00,10383.70129549836,6000.0,0.0,forecast,1.0,11228.323915724675,12939.578685432502,False,2025-05-08
4-3,2025-05-10,2025-05-10 00:00:00,0,2025-05-10 00:10:00,2025-05-11 00:00:00,6691.161842112991,6000.0,0.0,forecast,1.0,12291.74030554451,14028.973901043959,False,2025-05-09
4-3,2025-05-10,2025-05-10 06:00:00,6,2025-05-10 06:10:00,2025-05-11 06:00:00,3671.52915958232,6000.0,0.0,forecast,1.0,16208.848663476247,18302.822854186208,False,2025-05-09
4-3,2025-05-10,2025-05-10 12:00:00,12,2025-05-10 12:10:00,2025-05-11 12:00:00,10800.0,6000.0,0.0,forecast,1.0,14346.6952642802,16174.586750018869,False,2025-05-09
4-3,2025-05-10,2025-05-10 18:00:00,18,2025-05-10 18:10:00,2025-05-11 18:00:00,10641.488261593362,6000.0,0.0,forecast,1.0,15331.290772664386,17390.8584093452,False,2025-05-09
4-3,2025-05-11,2025-05-11 00:00:00,0,2025-05-11 00:10:00,2025-05-12 00:00:00,6660.862619953753,6000.0,0.0,forecast,1.0,38459.3245242087,42728.60775452564,False,2025-05-10
4-3,2025-05-11,2025-05-11 06:00:00,6,2025-05-11 06:10:00,2025-05-12 06:00:00,10130.883796296297,6000.0,5.680150951655618e-16,forecast,1.0,38652.5290828797,42924.01605892443,False,2025-05-10
