date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,initial_soc_kwh,terminal_soc_kwh
2025-08-06,70088.69754176706,70088.69754176706,0.0,0.0,18600.99596179818,15307.085799510207,1902.1863540784248,582.5744668908467,52085.33718248946,0.0,15574.61068588776,67659.94786837722,6147.150703196509,5880.173958247974
2025-08-07,70189.96230795767,70189.96230795767,0.0,0.0,19929.893876209695,16129.92280361137,50.9346552034383,3052.9406405627874,51508.039908898994,0.0,420.42381313164185,51928.46372203064,5880.173958247974,5894.94199837963
2025-08-08,39990.512576041125,39990.512576041125,0.0,0.0,17933.065612050887,14454.102733951378,145.1440344887739,20881.52248243039,21842.50089881846,0.0,775.4748796148658,22617.975778433327,5894.94199837963,5974.586900390562
2025-08-09,39703.20171098825,39703.20171098825,0.0,0.0,19354.753508318157,15731.673249389993,286.9443047399616,17445.13675680005,21785.02723016453,0.0,1456.578984226111,23241.606214390642,5974.586900390562,5914.228114110242
2025-08-10,68628.51424575763,68628.51424575763,0.0,0.0,18424.441104248082,14816.03162295005,368.8581426754681,84.34385713506276,51423.84156751127,0.0,3205.3643848139723,54629.20595232525,5914.228114110242,6033.967749100117
2025-08-11,67506.84715556962,67506.84715556962,0.0,0.0,19366.054467729948,15724.612886710212,731.2646708934474,35.41691210999875,49740.33344372916,0.0,6301.3076690888365,56041.641112818,6033.967749100117,5991.624673712385
2025-08-12,68529.8635556648,68529.8635556648,0.0,0.0,17254.90193964772,13931.72081429174,2836.36282789232,282.50160820113706,51021.659069677204,0.0,23401.0174314702,74422.6765011474,5991.624673712385,6041.346625737848
2025-08-13,68637.39000719516,68637.39000719516,0.0,0.0,17543.502998967822,14203.176031885645,1078.4892219190435,254.57281203203684,50940.093616074584,0.0,9098.518500965183,60038.612117039775,6041.346625737848,6049.192622713727
2025-08-14,68278.73170505602,68278.73170505602,0.0,0.0,20076.451161152934,16252.736631536134,1805.6812580386086,334.4074501444935,50493.36079768761,0.0,13037.602113172949,63530.96291086056,6049.192622713727,6059.402410489004
2025-08-15,39202.72893829769,39202.72893829769,0.0,0.0,17362.446689163728,14268.828344247362,240.99019088985423,19190.373900937844,21752.71113929825,0.0,1292.864447887,23045.575587185253,6059.402410489004,5831.350714905961
2025-08-16,39547.195995197304,39547.195995197304,0.0,0.0,18576.268139454565,14932.021642723827,357.35221244886276,19331.021344248762,21690.04018282363,0.0,2107.0480190400713,23797.088201863702,5831.350714905961,5958.856881833045
2025-08-17,68233.44954482076,68233.44954482076,0.0,0.0,20128.675141319978,16158.702800715275,540.0706436875384,1638.1542312369381,50507.829168015,0.0,3279.5605770774737,53787.38974509247,5958.856881833045,6120.550286004051
2025-08-18,67414.01754753418,67414.01754753418,0.0,0.0,20676.819940362664,16797.914511159903,1345.8391731480974,486.8356748128507,50185.94041204041,0.0,8290.68115832482,58476.62157036523,6120.550286004051,6065.338775486111
2025-08-19,67933.98453614156,67933.98453614156,0.0,0.0,19908.631150357385,16178.723680197036,158.39151254263342,44.808528523850555,50444.63288179082,0.0,1234.6140198551072,51679.24690164593,6065.338775486111,6006.747166144387
2025-08-20,67401.42972262348,67401.42972262348,0.0,0.0,16204.279374755979,13154.1708055888,6462.864550645264,163.49463743489628,50565.90527135496,0.0,47546.00638937811,98111.91166073308,6006.747166144387,5974.853263881654
2025-08-21,69503.74565370017,69503.74565370017,0.0,0.0,19586.635315110776,15799.058241268373,253.90296809995482,125.6530646243931,51118.093178926116,0.0,2178.1066118454623,53296.19979077158,5974.853263881654,6048.315890516492
2025-08-22,39201.78285309827,39201.78285309827,0.0,0.0,17197.10584453496,14010.56779715079,1119.5725989395135,15904.248004653622,21651.35742726048,0.0,7370.845040033365,29022.202467293842,6048.315890516492,5958.41359820819
2025-08-23,39910.98605152837,39910.98605152837,0.0,0.0,17581.457682724704,14304.354414985522,380.2328331630136,14484.109466952206,21700.20541578358,0.0,2273.287842354954,23973.493258138533,5958.41359820819,5887.998384898726
2025-08-24,69789.28346872806,69789.28346872806,0.0,0.0,19324.016479152815,15583.875353184088,1378.0636951132906,3693.6165545392846,51376.75870974264,0.0,9452.922397744624,60829.68110748726,5887.998384898726,5964.196157042825
2025-08-25,69460.63604145494,69460.63604145494,0.0,0.0,17525.630020333072,14062.720652195829,4808.7929300677115,33.43258671875026,51451.60743586081,0.0,38452.47485736034,89904.08229322116,5964.196157042825,6112.0180062361105
2025-08-26,71362.70687477241,71362.70687477241,0.0,0.0,20325.201602512563,16511.681223689695,0.0,2020.368112616209,52013.29565981905,0.0,0.0,52013.29565981905,6112.0180062361105,6058.386977731096
2025-08-27,70096.98720842521,70096.98720842521,0.0,0.0,19718.78721717794,15923.371218278367,1804.5967244715166,192.01906733049032,51654.06097014691,0.0,15104.414889106592,66758.4758592535,6058.386977731096,6112.660786215277
2025-08-28,70665.14521132098,70665.14521132098,0.0,0.0,17359.97542330244,14239.399257311954,3626.7476620509983,403.52172404816247,51803.71284680903,0.0,28402.349569871323,80206.06241668036,6112.660786215277,5915.083936840857
2025-08-29,40883.66976798201,40883.66976798201,0.0,0.0,18451.262137318325,14740.579562070288,102.25533053025606,14720.022173264233,22606.10015568562,0.0,634.7594038682205,23240.859559553843,5915.083936840857,6142.798124793693
